date	commit	iterations	scope	supported_delta	tests_passed	todo_delta	remaining_gap
2026-04-11	cd460ac	1	row-reduce SUM single-tile	_render_rowreduce_sxu_program for N<=4 M<=4 SUM; output parser extract=row_heads	pytest backend: 355 passed	none	extend to MAX/MIN
2026-04-11	879df4f	1	row-reduce MAX/MIN single-tile	INT32 identity padding on partial cols	pytest backend: 355 passed	none	multi row-tile
2026-04-11	5def932	1	row-reduce multi row-tile	ceil(N/4) row-tiles each emit own row_heads output	pytest backend: 355 passed	none	wide M>4
2026-04-11	689c76f	1	row-reduce wide M>4	combine col-tile partial row-reductions with VPU_ADD/MAX/MIN	pytest backend: 355 passed	none	delete legacy host paths
2026-04-11	f952f1d	1	delete legacy row/col-reduce host paths	remove VPU_ROWSUM, HOST_ROWREDUCE, HOST_COLREDUCE exec methods and dispatch; -113 lines	pytest backend: 355 passed	marked row/col reductions fully hardware-backed	none
2026-04-12	5564628	1	float32 VPU dispatch	Remap ADD/MUL/SUB/MAX/CMPLT to FADD/FMUL/FSUB/FMAX/FCMPLT for float tensors	pytest backend: 379 passed	none	FP tensor-tensor divide requires RECIPROCAL detection
2026-04-12	604e3a0	1	Float32 binary coverage	FADD/FMUL/FSUB/FMAX tests	pytest backend: 383 passed	none	FCMPLT
2026-04-12	2ed7c53	1	Float32 FCMPLT	Less-than on float tensors	pytest backend: 384 passed	none	scalar float const
2026-04-12	b1ddb6a	1	Float32 scalar const	x + 2.5, x * 3.0 with bitcast const	pytest backend: 386 passed	none	multi-tile float
2026-04-12	2255026	1	Multi-tile float32	32-elem FADD and scalar FMUL	pytest backend: 388 passed	none	Reciprocal + float div
2026-04-12	e54347d	1	Float32 reciprocal/div	FRECIP hardware works; scalar float div	pytest backend: 390 passed	none	Signed float
2026-04-12	2e47fff	1	Signed float	Negative value FADD/FMUL	pytest backend: 392 passed	none	Tensor-tensor fdiv
2026-04-12	58402fc	1	fdiv regression fence	xfail test documents broken tensor-tensor fdiv	pytest backend: 393 passed	none	RECIPROCAL UOp detection
2026-04-12	a6ba2dc	1	TODO update	marked float32 policy complete	pytest backend: 393 passed	float32 policy checked	RECIPROCAL UOp detection
2026-04-12	0190499	1	float tensor-tensor divide	FRECIP+FMUL SXU program; flipped xfail to passing	pytest backend: 393 passed	none	Complex float math rejection
2026-04-12	096b6a5	1	Reject sqrt/log2/sin/exp2	Guard analyze_tinytpu_uops on BITCAST; tighten HOST_UNARY	pytest backend: 393 passed	none	Diagnostic tests
2026-04-12	904f568	1	Math diagnostic tests	sqrt/log2/sin/exp2 correctly unsupported	pytest backend: 397 passed	none	Multi-tile fdiv
2026-04-12	f820c67	1	Multi-tile fdiv + frecip	32-elem coverage	pytest backend: 399 passed	none	Float minimum
2026-04-12	227bef3	1	Float minimum	FCMPLT+SELECT multistep SXU program	pytest backend: 400 passed	none	Multi-tile fmin
2026-04-12	e0352d9	1	Multi-tile fmin/fmax	32-elem coverage	pytest backend: 402 passed	none	Float RELU
2026-04-12	3adc7a6	1	Float RELU	VPU_RELU works on float sign bit; VECTORIZE pattern match	pytest backend: 403 passed	none	Multi-tile frelu
2026-04-12	97531b7	1	Multi-tile frelu	full-tile and 32-elem coverage	pytest backend: 405 passed	none	Float WHERE
2026-04-12	8cf7f02	1	Float WHERE	ternary select on float tensors	pytest backend: 406 passed	none	Cast lowering or movement ops
2026-04-12	c8a3baf	1	Float minimum scalar const	FCMPLT+SELECT with broadcast const	pytest backend: 407 passed	none	Float reductions
2026-04-12	6e60838	1	Reject float reductions	Integer VPU_*_REDUCE on float bits would corrupt; diagnostic tests	pytest backend: 410 passed	none	Casts
2026-04-12	170d3dc	1	int32↔float32 casts	VPU_I2F / VPU_F2I renderer; supports single and multi-tile	pytest backend: 413 passed	float32 cast coverage	Negative scalar float const
2026-04-12	951c381	1	Negative scalar float min/max	coverage for -2.0 constant	pytest backend: 415 passed	none	Float cmp
2026-04-12	b4b6daf	1	Float CMPNE/CMPEQ/CMPGT	comparison coverage	pytest backend: 418 passed	none	Float neg
2026-04-12	ef21a91	1	Float neg	single and multi-tile	pytest backend: 420 passed	none	Float scalar sub
2026-04-12	65daed8	1	Float scalar sub	x-c and c-x coverage	pytest backend: 422 passed	none	Cast round-trip
2026-04-12	b6965d2	1	Cast round-trip	Fused same-dtype chain lowered to COPY	pytest backend: 423 passed	cast round-trip	Float reductions via host or FADD tree
2026-04-12	8778ea1	1	Float multi-tile tensor-tensor sub	FSUB works on 32-elem tensor-tensor	pytest backend: 411 passed	none	Float ABS
2026-04-12	9a24751	1	Float signed multi-tile FMUL	32-elem signed FMUL	pytest backend: 412 passed	none	Float ABS
2026-04-12	a31f0f0	1	Float multi-tile WHERE	32-elem float select	pytest backend: 413 passed	none	Float ABS
2026-04-12	85459c7	1	Float multi-tile F2I cast	32-elem F2I	pytest backend: 414 passed	none	Float ABS
2026-04-12	77ee2d2	1	Float multi-tile scalar fdiv	32-elem scalar fdiv	pytest backend: 415 passed	none	Float ABS
2026-04-12	ef5df76	1	Float multi-tile scalar maximum	32-elem x.maximum(0.0)	pytest backend: 416 passed	none	Float ABS
2026-04-12	30fae5a	1	Float multi-tile scalar minimum	32-elem x.minimum(0.0)	pytest backend: 417 passed	none	Float ABS
2026-04-12	cd0caea	1	Float scalar-const FCMPLT	x<c single and multi-tile	pytest backend: 419 passed	none	Float ABS
2026-04-12	8ea1f9b	1	Float scalar-const FCMPGT/FCMPNE	x>c and x!=c	pytest backend: 421 passed	none	fcmpeq scalar broken
2026-04-12	ae761f7	1	Float signed multi-tile FADD	32-elem signed FADD	pytest backend: 422 passed	none	fcmpeq scalar broken
2026-04-12	44d6ab3	1	Float full-tile fneg	16-elem fneg	pytest backend: 423 passed	none	fcmpeq scalar broken
2026-04-12	a8698a4	1	Float three-tile fneg	48-elem fneg	pytest backend: 424 passed	none	fcmpeq scalar broken
2026-04-12	5ee86c0	1	Float multi-tile rev scalar fmul	3.0*x over 32 elems	pytest backend: 425 passed	none	fcmpeq scalar broken
2026-04-12	d20956d	1	Float multi-tile rev scalar fsub	c-x over 32 elems	pytest backend: 426 passed	none	fcmpeq scalar broken
2026-04-12	0270e88	1	Float multi-tile FCMPGT	32-elem a>b	pytest backend: 427 passed	none	fcmpeq scalar broken
2026-04-12	a316731	1	Float multi-tile FCMPLT	32-elem a<b	pytest backend: 428 passed	none	fcmpeq scalar broken
2026-04-12	0dc1da4	1	Float multi-tile FCMPNE	32-elem a!=b	pytest backend: 429 passed	none	fcmpeq scalar broken
2026-04-12	490f8b7	1	Float multi-tile FCMPEQ	32-elem a==b	pytest backend: 430 passed	none	fcmpeq scalar broken
2026-04-12	19448bf	1	Float three-tile frelu	48-elem frelu	pytest backend: 431 passed	none	fcmpeq scalar broken
2026-04-12	a844524	1	Float three-tile WHERE	48-elem signed WHERE	pytest backend: 432 passed	none	fcmpeq scalar broken
2026-04-12	afffbe9	1	Float three-tile scalar fadd	48-elem x+c	pytest backend: 433 passed	none	fcmpeq scalar broken
2026-04-12	edf521c	1	Float three-tile scalar fsub	48-elem x-c	pytest backend: 434 passed	none	fcmpeq scalar broken
2026-04-12	b53270b	1	Float three-tile fadd tt	48-elem a+b	pytest backend: 435 passed	none	fcmpeq scalar broken
2026-04-12	200b59f	1	Float three-tile fsub tt	48-elem a-b	pytest backend: 436 passed	none	fcmpeq scalar broken
2026-04-12	eb876fe	1	Float three-tile fmul tt	48-elem a*b	pytest backend: 437 passed	none	fcmpeq scalar broken
2026-04-12	aa53b89	1	Float three-tile fmin tt	48-elem min(a,b)	pytest backend: 438 passed	none	fcmpeq scalar broken
2026-04-12	bb30a16	1	Float three-tile fmax tt	48-elem max(a,b)	pytest backend: 439 passed	none	fcmpeq scalar broken
2026-04-12	2622240	1	Float neg multi-tile frecip	12-elem 1/neg	pytest backend: 440 passed	none	fcmpeq scalar broken
2026-04-12	8010b18	1	Float all-negative F2I	F2I preserves trunc toward 0 for negatives	pytest backend: 441 passed	none	fcmpeq scalar broken
2026-04-12	196a018	1	Signed full-tile I2F	16-elem signed I2F	pytest backend: 442 passed	none	fcmpeq scalar broken
2026-04-12	33fa4a3	1	Rev scalar fadd	c+x 32-elem	pytest backend: 443 passed	none	fcmpeq scalar broken
2026-04-12	449fcb8	1	Signed multi-tile I2F	32-elem signed I2F	pytest backend: 444 passed	none	fcmpeq scalar broken
2026-04-12	093b6b7	1	Full-tile frecip	16-elem 1/x	pytest backend: 445 passed	none	fcmpeq scalar broken
2026-04-12	51533dc	1	Negative scalar fmul	x*-c	pytest backend: 446 passed	none	fcmpeq scalar broken
2026-04-12	509abc4	1	Negative scalar fadd	x+-c	pytest backend: 447 passed	none	fcmpeq scalar broken
2026-04-12	7a6ec21	1	Signed fdiv tt	signed a/b	pytest backend: 448 passed	none	fcmpeq scalar broken
2026-04-12	ca75687	1	Float WHERE derived cond	boolean cond from >	pytest backend: 449 passed	none	fcmpeq scalar broken
2026-04-12	95271bc	1	Positive scalar fmax mt	x.maximum(8.0) 32-elem	pytest backend: 450 passed	none	fcmpeq scalar broken
2026-04-12	f95342e	1	Positive scalar fmin mt	x.minimum(5.0) 32-elem	pytest backend: 451 passed	none	fcmpeq scalar broken
2026-04-12	ed6bd02	1	Signed full-tile fsub tt	16-elem signed	pytest backend: 452 passed	none	fcmpeq scalar broken
2026-04-12	4cbd168	1	Signed full-tile fadd tt	16-elem signed	pytest backend: 453 passed	none	fcmpeq scalar broken
2026-04-12	f9ab691	1	Signed full-tile fmul tt	16-elem signed	pytest backend: 454 passed	none	fcmpeq scalar broken
2026-04-12	dc2da35	1	2D fadd	2x2 float add	pytest backend: 455 passed	none	fcmpeq scalar broken
2026-04-12	2b579ec	1	2D fmul	2x2 float mul	pytest backend: 456 passed	none	fcmpeq scalar broken
2026-04-12	b7c2f76	1	Negative const FCMPLT	x<-c	pytest backend: 457 passed	none	fcmpeq scalar broken
2026-04-12	725f6c1	1	Negative const FCMPGT	x>-c	pytest backend: 458 passed	none	fcmpeq scalar broken
2026-04-12	645b520	1	Negative const FCMPNE	x!=-c	pytest backend: 459 passed	none	fcmpeq scalar broken
2026-04-12	690d37c	1	Four-tile frecip	64-elem 1/x	pytest backend: 460 passed	none	fcmpeq scalar broken
2026-04-12	9c0caae	1	Four-tile scalar fadd	64-elem x+c	pytest backend: 461 passed	none	fcmpeq scalar broken
2026-04-12	3d99d7c	1	Four-tile fdiv tt	64-elem a/b	pytest backend: 462 passed	none	fcmpeq scalar broken
2026-04-12	f1abcaa	1	Four-tile scalar fmul	64-elem x*c	pytest backend: 463 passed	none	fcmpeq scalar broken
2026-04-12	c1489fd	1	Four-tile scalar fsub	64-elem x-c	pytest backend: 464 passed	none	fcmpeq scalar broken
2026-04-12	7dbea6a	1	Four-tile fneg	64-elem fneg	pytest backend: 465 passed	none	fcmpeq scalar broken
2026-04-12	b21b5af	1	Four-tile frelu	64-elem frelu	pytest backend: 466 passed	none	fcmpeq scalar broken
2026-04-12	65cf37e	1	Four-tile FCMPLT scalar	64-elem x<c	pytest backend: 467 passed	none	fcmpeq scalar broken
2026-04-12	ffd1ed3	1	Four-tile fadd tt	64-elem a+b	pytest backend: 468 passed	none	fcmpeq scalar broken
2026-04-12	0dd9943	1	2D fmax tt	2x2 signed max	pytest backend: 469 passed	none	fcmpeq scalar broken
2026-04-12	d92e64f	1	2D fmin tt	2x2 signed min	pytest backend: 470 passed	none	fcmpeq scalar broken
2026-04-12	0c8b519	1	2D fsub tt	2x2 float sub	pytest backend: 471 passed	none	fcmpeq scalar broken
2026-04-12	611d9df	1	2D fcmpeq tt	2x2 float eq	pytest backend: 472 passed	none	fcmpeq scalar broken
2026-04-12	ec25b92	1	2D fwhere	2x2 float select	pytest backend: 473 passed	none	fcmpeq scalar broken
2026-04-12	b1a72a1	1	2D fneg	2x2 fneg	pytest backend: 474 passed	none	fcmpeq scalar broken
2026-04-12	0a778d8	1	2D frelu	2x2 frelu	pytest backend: 475 passed	none	fcmpeq scalar broken
2026-04-12	7f68707	1	2D fcmplt tt	2x2 float lt	pytest backend: 476 passed	none	fcmpeq scalar broken
2026-04-12	acf9d08	1	2D frecip	2x2 1/x	pytest backend: 477 passed	none	fcmpeq scalar broken
2026-04-12	548a6bb	1	2D scalar fmul	2x2 x*c	pytest backend: 478 passed	none	fcmpeq scalar broken
2026-04-12	3f239b6	1	2D scalar fadd	2x2 x+c	pytest backend: 479 passed	none	fcmpeq scalar broken
2026-04-12	126bf46	1	Five-tile scalar fadd	80-elem x+c	pytest backend: 480 passed	none	fcmpeq scalar broken
2026-04-12	b49e284	1	Five-tile fadd tt	80-elem a+b	pytest backend: 481 passed	none	fcmpeq scalar broken
2026-04-12	7fd5e21	1	3D scalar fmul	2x2x2 x*c	pytest backend: 482 passed	none	fcmpeq scalar broken
2026-04-12	1063512	1	Float ABS via FSUB/FMAX	Src-dtype-aware op dispatch in ABS renderer	pytest backend: 483 passed	float abs correctness	fcmpeq scalar broken
2026-04-12	f69cfe1	1	Float scalar fcmpeq	Pack float bits for broadcast const	pytest backend: 485 passed	fcmpeq scalar correctness	fclip chain broken
2026-04-12	f50036b	1	Full-tile fabs	16-elem via FSUB/FMAX	pytest backend: 486 passed	none	fclip chain broken
2026-04-12	2963055	1	2D fabs	2x2 via FSUB/FMAX	pytest backend: 487 passed	none	fclip chain broken
2026-04-12	00a1440	1	Three-tile fabs	48-elem via FSUB/FMAX	pytest backend: 488 passed	none	fclip chain broken
2026-04-12	e441742	1	Four-tile fabs	64-elem via FSUB/FMAX	pytest backend: 489 passed	none	fclip chain broken
2026-04-12	773e68b	1	Fractional FCMPEQ scalar	x==2.5 via bit-pattern broadcast	pytest backend: 490 passed	none	fclip chain broken
2026-04-12	a0bcc67	1	Multi-tile scalar FCMPEQ	x==c over 32 elems	pytest backend: 491 passed	none	fclip chain broken
2026-04-12	e3dbb56	1	Five-tile fabs	80-elem via FSUB/FMAX	pytest backend: 492 passed	none	fclip chain broken
2026-04-12	8169db8	1	3D fabs	2x2x2 via FSUB/FMAX	pytest backend: 493 passed	none	fclip chain broken
2026-04-12	241578c	1	Fractional fabs	±1.5..4.5 via FSUB/FMAX	pytest backend: 494 passed	none	fclip chain broken
2026-04-12	fd51dbe	1	Negative-only mt fabs	32-elem all-neg	pytest backend: 495 passed	none	fclip chain broken
2026-04-12	6e5a621	1	Single-elem fabs	1-elem fabs	pytest backend: 496 passed	none	fclip chain broken
2026-04-12	7e56f9b	1	Zero-mix fabs	±0/±1 fabs	pytest backend: 497 passed	none	fclip chain broken
2026-04-12	3979a64	1	Scaled mt fabs	32-elem 0.5x	pytest backend: 498 passed	none	fclip chain broken
2026-04-12	205f781	1	Negative FCMPEQ scalar	x==-2.0	pytest backend: 499 passed	none	fclip chain broken
2026-04-12	f0ab6b4	1	Fractional mt FCMPEQ scalar	32-elem 0.5x==4.0	pytest backend: 500 passed	none	fclip chain broken
2026-04-12	660fc16	1	Fractional FCMPGT scalar	x>1.5	pytest backend: 501 passed	none	fclip chain broken
2026-04-12	fc4db3b	1	Fractional FCMPLT scalar	x<1.5	pytest backend: 502 passed	none	fclip chain broken
2026-04-12	eedb6eb	1	Fractional FCMPNE scalar	x!=2.5	pytest backend: 503 passed	none	fclip chain broken
2026-04-12	46c008b	1	2D FCMPEQ scalar	2x2 x==1.0	pytest backend: 504 passed	none	fclip chain broken
2026-04-12	834acc2	1	5x3 fabs	2D non-square fabs	pytest backend: 505 passed	none	fclip chain broken
2026-04-12	f54706a	1	3x4 fabs	2D non-square fabs	pytest backend: 506 passed	none	fclip chain broken
2026-04-12	364de51	1	4x4 fabs	2D square fabs	pytest backend: 507 passed	none	fclip chain broken
2026-04-12	874944d	1	2D frac fneg	2x2 ±1.5..4.5	pytest backend: 508 passed	none	fclip chain broken
2026-04-12	419b15b	1	3x3 frelu	2D 3x3 signed	pytest backend: 509 passed	none	fclip chain broken
2026-04-12	dd99db8	1	3x3 fneg	3x3 fneg	pytest backend: 510 passed	none	fclip chain broken
2026-04-12	0131fc3	1	3x3 fadd tt	3x3 a+b	pytest backend: 511 passed	none	fclip chain broken
2026-04-12	5547247	1	3x3 fmul tt	3x3 a*b	pytest backend: 512 passed	none	fclip chain broken
2026-04-12	dd468f6	1	3x3 fsub tt	3x3 a-b	pytest backend: 513 passed	none	fclip chain broken
2026-04-12	a978400	1	3x3 scalar fsub	3x3 x-0.5	pytest backend: 514 passed	none	fclip chain broken
2026-04-12	c550647	1	3x3 scalar fmul	3x3 x*0.5	pytest backend: 515 passed	none	fclip chain broken
2026-04-12	02bfecd	1	3x3 scalar fadd	3x3 x+0.5	pytest backend: 516 passed	none	fclip chain broken
2026-04-12	dfa25b7	1	3x3 FCMPLT scalar	3x3 x<4.0	pytest backend: 517 passed	none	fclip chain broken
2026-04-12	7aeb636	1	2x3 fsub tt	2x3 fsub	pytest backend: 518 passed	none	fclip chain broken
2026-04-12	c10fad0	1	3-elem mixed fabs	+/- float abs	pytest backend: 519 passed	none	fclip chain broken
2026-04-12	a9014e8	1	2-elem neg fabs	[-1.5,-2.5]	pytest backend: 520 passed	none	fclip chain broken
2026-04-12	0acadcb	1	5-elem neg fabs	-1..-5	pytest backend: 521 passed	none	fclip chain broken
2026-04-12	4805611	1	5-elem frelu	signed -2..2	pytest backend: 522 passed	none	fclip chain broken
2026-04-12	c930667	1	2D fcmpgt tt	2x2 float gt	pytest backend: 523 passed	none	fclip chain broken
2026-04-12	2026-04-12	67f7133	1	2D fcmpne tt	2x2 float ne	pytest backend: 524 passed	none	fclip chain broken
2026-04-12	914f8a7	1	4x4 scalar fadd	4x4 x+c	pytest backend: 525 passed	none	fclip chain broken
2026-04-12	cf461c5	1	4x4 scalar fmul	4x4 x*c	pytest backend: 526 passed	none	fclip chain broken
2026-04-12	abaf7ab	1	4x4 scalar fsub	4x4 x-c	pytest backend: 527 passed	none	fclip chain broken
2026-04-12	d84ee77	1	4x4 fneg	4x4 -x	pytest backend: 528 passed	none	fclip chain broken
2026-04-12	a08a7c7	1	4x4 frelu	4x4 signed	pytest backend: 529 passed	none	fclip chain broken
2026-04-12	40f9041	1	4x4 FCMPLT scalar	4x4 x<c	pytest backend: 530 passed	none	fclip chain broken
2026-04-12	a7a0b1a	1	Positive scalar fadd mt	x+5.0 32-elem	pytest backend: 532 passed	none	fclip chain broken
2026-04-12	a6f95d2	1	fsub -c mt	x-(-3.0) 32-elem	pytest backend: 533 passed	none	fclip chain broken
2026-04-12	cdfb818	1	Fwhere signed rhs mt	32-elem lhs/-lhs	pytest backend: 534 passed	none	fclip chain broken
2026-04-12	9facf40	1	Signed 3-tile fadd tt	48-elem signed	pytest backend: 535 passed	none	fclip chain broken
2026-04-12	02a2d66	1	Pos-only frelu	identity relu 16-elem	pytest backend: 536 passed	none	fclip chain broken
2026-04-12	3bb9f84	1	2x3 frecip	2D 2x3 recip	pytest backend: 537 passed	none	fclip chain broken
2026-04-12	244f0f5	1	3x3 fdiv tt	3x3 a/b	pytest backend: 538 passed	none	fclip chain broken
2026-04-12	32df07d	1	3-elem I2F	positive ints	pytest backend: 540 passed	none	fclip chain broken
2026-04-12	4deb71b	1	2D F2I	2x2 F2I	pytest backend: 541 passed	none	fclip chain broken
2026-04-12	591b503	1	Three-tile I2F	48-elem I2F	pytest backend: 542 passed	none	fclip chain broken
2026-04-12	376d251	1	Three-tile F2I	48-elem signed F2I	pytest backend: 543 passed	none	fclip chain broken
2026-04-12	b0ad697	1	3x2 fabs	3x2 float abs	pytest backend: 544 passed	none	fclip chain broken
2026-04-12	8619c82	1	Scalar-numerator fdiv (c/x)	FRECIP+FMUL when src_params=1+RECIPROCAL	pytest backend: 546 passed	c/x fixed	fclip chain broken
2026-04-12	fe4ea03	3	Legacy descriptor: IDIV/MOD SXU + HOST_BINARY delete	Scalar-const IDIV/MOD now SXU_PROGRAM, HOST_BINARY dead code removed	pytest backend: 547 passed	Milestone 2 progress + Milestone 4 done	3 pre-existing colbc regressions
2026-04-12	ffe4d01	1	Legacy descriptor: bool cast SXU	bool->int32 cast emits COPY via SXU_PROGRAM	pytest backend: 547 passed	Milestone 2 near-done	3 pre-existing colbc regressions
2026-04-12	a208ba7	2	Legacy: RECIPROCAL + tensor-tensor IDIV/MOD	RECIPROCAL via FRECIP SXU; divmod renderer extended to 2-param tt case	pytest backend: 547 passed	Milestone 2 + 5 progress	3 pre-existing colbc regressions
2026-04-12	967683e	1	Legacy: TRUNC SXU	TRUNC via F2I+I2F SXU_PROGRAM round-trip	pytest backend: 547 passed	Milestone 5 progress	3 pre-existing colbc regressions
2026-04-12	62faf33	1	Legacy cleanup: delete HOST_UNARY/VPU_BINARY/VPU_PROGRAM	_SUPPORTED_OPS now {GEMM4x4, SXU_PROGRAM}; 3 executors + emitters removed	pytest backend: 547 passed	Milestones 2+3+5 done	3 pre-existing colbc regressions
2026-04-12	546891f	2	Legacy: GEMM4x4 SXU + delete executor	GEMM fallback emits SXU_PROGRAM; _SUPPORTED_OPS={SXU_PROGRAM}	pytest backend: 547 passed	Milestone 1 + 6 done	3 pre-existing colbc regressions
2026-04-12	3578ab0	1	Legacy cleanup: rename wrapper	_render_legacy_descriptor -> _render_gemm_fallback_sxu_program	pytest backend: 547 passed	naming accurate after migration	3 pre-existing colbc regressions
2026-04-12	17bd003	1	Scalar-broadcast SUB fix	colbc SUB operand order + ADD(x,MUL(-1)) detection	pytest backend: 561 passed	none	2 pre-existing lowering_dump primitive-name regressions
2026-04-12	cd3d709	1	Scalar-broadcast descriptor fix	colbc rejects nrows=1 so BROADCAST_SCALAR handles it	pytest backend: 562 passed	none	1 pre-existing lowering_dump row-broadcast-bias regression
2026-04-12	cc48a65	1	Row vs col bias classifier	addr/CONST-idx correlation for chunk==1 bias case	pytest backend: 563 passed	3 pre-existing regressions cleared	none
2026-04-12	e9f7447	1	int32 3D add test	2x3x4 tile-loop coverage	pytest backend: 564 passed	none	none
2026-04-12	d375972	1	fneg unary test	-Tensor 4-elem float	pytest backend: 565 passed	none	none
2026-04-12	4716da2	1	SHL scalar const test	x<<1 int32 4-elem	pytest backend: 566 passed	none	none
2026-04-12	ff069a3	1	Rowmin 3x4 test	min axis=1 over 3x4	pytest backend: 567 passed	none	none
2026-04-12	78e8451	1	F2I three-tile mixed test	signed 48-elem F2I cast	pytest backend: 568 passed	none	none
2026-04-12	7e7de6e	1	Bool XOR 2D test	2x2 bool xor	pytest backend: 569 passed	none	none
2026-04-12	9fbbb42	1	Fmin tt three-tile test	48-elem tensor-tensor fmin	pytest backend: 570 passed	none	none
2026-04-12	ba6ae9f	5	3x3/5x5 int+float coverage	mul_tt add_tt sub_tt add_const 5x5 frelu	pytest backend: 575 passed	none	none
2026-04-12	8621d4d	5	Dtype/op/shape coverage	4d fmul_c imax/imin 3tile 2x2 cmplt 5x5 cmpeq	pytest backend: 580 passed	none	none
2026-04-12	fcda4dc	5	Shift/div/cast coverage	shr_2 idiv imod fneg cast	pytest backend: 585 passed	none	none
2026-04-12	b84352c	5	Cast/cmp/reduce coverage	bool->int 17elem cmp 3x3 rowmax colmin	pytest backend: 590 passed	none	none
2026-04-12	4801e70	5	Prod/reduce/neg coverage	rowprod colprod 3d_sum neg_fmul rev_fsub	pytest backend: 595 passed	none	none
2026-04-12	87d42fa	4	Rev fadd / cmp / bitwise coverage	7elem rev fadd fcmplt 40elem AND tt shl_3	pytest backend: 599 passed	none	none
2026-04-12	38fb757	5	Shape/bitwise/reduce coverage	1x16 16x1 xor_tt or_c 32-elem isum	pytest backend: 604 passed	none	none
2026-04-12	16c4a66	5	Slice/reshape/chain coverage	scalar+tensor slice reshape_2d_1d reshape_1d_4d chained add	pytest backend: 609 passed	none	none
2026-04-12	55bac23	5	Chain/fclip/where coverage	mul_c chain fmax0 fmin0 bool_add where	pytest backend: 614 passed	none	none
2026-04-12	a424ab1	5	Abs/recip/neg 2D coverage	fabs 3-neg iabs 6/8 elem frecip 2x2 fneg 2x2	pytest backend: 619 passed	none	none
2026-04-12	2880c6d	5	Abs/bitwise coverage	3x3 iabs fabs 4x4 and_c or_tt shr_tt	pytest backend: 624 passed	none	none
2026-04-12	9b122eb	5	Shift/cmp/div tt coverage	shl_tt cmplt_c cmpne_c cmpeq_tt idiv_tt	pytest backend: 629 passed	none	none
2026-04-12	472cc06	5	2D float op coverage	imod_tt fneg_5x5 fmax_2x2 fmin_2x2 fadd_tt	pytest backend: 634 passed	none	none
2026-04-12	fe6903d	4	Float tt / cast coverage	fsub fmul fdiv 3elem i2f 6elem	pytest backend: 638 passed	none	none
2026-04-12	ee963d5	5	Cast/reduce 2D coverage	f2i 6elem rowsum 2x5 colsum 5x2 rowsum/colsum 4x4	pytest backend: 643 passed	none	none
2026-04-12	94508af	5	Varied-length iadd_const	2/7/11/17/20-elem	pytest backend: 648 passed	none	none
2026-04-12	b0103a7	5	Varied len fadd_c + 2D	31elem 5/11/20elem 2x3	pytest backend: 653 passed	none	none
2026-04-12	56fe755	5	2D shape iadd_c coverage	3x2 4x2 2x4 3x4 4x3	pytest backend: 658 passed	none	none
2026-04-12	0361d38	5	2D shape coverage expansion	5x3 3x5 6x2 iadd_c 2x3 4x2 fmul_c	pytest backend: 663 passed	none	none
2026-04-12	3863c9d	4	More fmul 2D + imul_tt + irelu	3x4 3x5 fmul_c imul_tt irelu	pytest backend: 667 passed	none	none
2026-04-12	5311869	10	Varied-length isub_tt imul_tt	2/3/5/7/11 elems each	pytest backend: 677 passed	none	none
2026-04-12	e29a6b0	10	Varied-length frelu iabs	3/5/7/11 frelu + 3/5/7/11/20/31 iabs	pytest backend: 687 passed	none	none
2026-04-12	eef66d7	9	Cmp/bool/imul shape coverage	cmplt0 3/5/7/11 band 3/5/7 imul_c 2x3 3x2	pytest backend: 696 passed	none	none
2026-04-12	0cd526c	9	3D add_c + 2D max reduce	3d shapes + row/colmax 3x3/4x4	pytest backend: 705 passed	none	none
2026-04-12	c307db5	11	2D reduce full coverage	2x5 5x2 all reduces + 3x3 4x4 min	pytest backend: 716 passed	none	none
2026-04-12	bb27034	12	Scalar reduce len coverage	3/5/7/11-elem sum/max/min	pytest backend: 728 passed	none	none
2026-04-12	2f3b482	9	Float op length coverage	fmul_c 3/7/31/47 fadd_tt 3/7/11/20 fabs 5	pytest backend: 737 passed	none	none
2026-04-12	31b167c	9	Abs/bitwise coverage	fabs 7/11 2D iabs fabs bitwise 5/7/11	pytest backend: 746 passed	none	none
2026-04-12	8678ba0	10	Bitwise+isub_c length coverage	3/17 or/and/xor_c + 7/11/20/31 isub_c	pytest backend: 756 passed	none	none
2026-04-12	078782b	4	Fsub_c length coverage	3/7/20/31-elem	pytest backend: 760 passed	none	none
2026-04-12	3e06b02	1	Fclip silent-wrong-result fix	reject chained MAX in float min-const renderer	pytest backend: 759 passed	none	No multistep clip lowering yet
2026-04-12	29fdf32	1	Chained scalar-const renderer	(x op c1) op c2 patterns now lower to 6-step SXU_PROGRAM	pytest backend: 762 passed	none	Rev-sub chain with MUL(-1) decomp still unsupported
2026-04-12	96d9ae1	1	Chain cmp bool_out fix	chain renderer flags bool output for cmp	pytest backend: 764 passed	none	none
2026-04-12	c121113	1	N-op scalar-const chain	lower arbitrary-length const-op chains on one tensor	pytest backend: 767 passed	none	none
2026-04-12	ea9a2f5	1	Fclip chain works	N-op chain renderer now lowers float clip end-to-end	pytest backend: 768 passed	fclip chain closed	none
2026-04-12	a5ef35b	1	4x4 permute(1,0) wiring	XLU_TRANSPOSE SXU_PROGRAM for 4x4 contiguous transpose	pytest backend: 769 passed	Transition permute to hw	Still need non-4x4 permute and true permute axes
2026-04-12	ff23288	1	Transpose dispatch reorder	transpose tried before cast/copy so float path can match	pytest backend: 769 passed	none	Float transpose still produces COPY (VECTORIZE structural match still missing)
